trialType,trialID,blockID,leftImage,rightImage,label,video,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
AG,1,1,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,,
training,2,1,B2,B4,bosas_look1cool1,B2_B4,8000,,,,,,,,,,,
training,3,1,C2,C4,rengs_wow1those1,C2_C4,8000,,,,,,,,,,,
training,4,1,A1,A3,doffs_see1these1,A1_A3,8000,,,,,,,,,,,
training,5,1,C1,C2,rengs_look1cool1,C1_C2,8000,,,,,,,,,,,
training,6,1,A4,A1,doffs_wow1those1,A4_A1,8000,,,,,,,,,,,
training,7,1,B4,B1,bosas_see1these1,B4_B1,8000,,,,,,,,,,,
training,8,1,A1,A2,doffs_look1cool1,A1_A2,8000,,,,,,,,,,,
training,9,1,C4,C1,rengs_see1these1,C4_C1,8000,,,,,,,,,,,
training,10,1,B4,B3,bosas_wow1those1,B4_B3,8000,,,,,,,,,,,
training,11,1,C1,C3,rengs_look1cool1,C1_C3,8000,,,,,,,,,,,
training,12,1,B3,B1,bosas_wow1those1,B3_B1,8000,,,,,,,,,,,
training,13,1,C3,C2,rengs_see1these1,C3_C2,8000,,,,,,,,,,,
training,14,1,A3,A4,doffs_wow1those1,A3_A4,8000,,,,,,,,,,,
training,15,1,B2,B3,bosas_see1these1,B2_B3,8000,,,,,,,,,,,
training,16,1,A4,A2,doffs_look1cool1,A4_A2,8000,,,,,,,,,,,
training,17,1,C4,C3,rengs_wow1those1,C4_C3,8000,,,,,,,,,,,
training,18,1,A2,A3,doffs_see1these1,A2_A3,8000,,,,,,,,,,,
training,19,1,B1,B2,bosas_look1cool1,B1_B2,8000,,,,,,,,,,,
